,global_bore_sync,global_flow_sync,global_frus_sync,fpcn_bore_sync,fpcn_flow_sync,fpcn_frus_sync,sub_bore_sync,sub_flow_sync,sub_frus_sync,fpcn_sub_bore_sync,fpcn_sub_flow_sync,fpcn_sub_frus_sync,global_bore_meta,global_flow_meta,global_frus_meta,fpcn_bore_meta,fpcn_flow_meta,fpcn_frus_meta,sub_bore_meta,sub_flow_meta,sub_frus_meta,fpcn_sub_bore_meta,fpcn_sub_flow_meta,fpcn_sub_frus_meta
sub-005,0.0768606,0.080728401,0.06976449,0.435601936,0.405067916,0.382756932,0.520402892,0.447172103,0.442034849,0.327392908,0.323975257,0.339329366,0.041475132,0.043303929,0.032046141,0.195010312,0.148608967,0.163307323,0.203499372,0.213333569,0.19783793,0.122335148,0.125102741,0.143691569
sub-006,0.096300793,0.090510086,0.085777006,0.364233821,0.348787208,0.411143424,0.461626222,0.337767528,0.423251122,0.297031625,0.26478795,0.313466044,0.048623506,0.043988744,0.034940839,0.133383546,0.154148351,0.161037151,0.181608157,0.17697054,0.159560204,0.120013844,0.108621912,0.127461846
sub-007,0.119585672,0.09622328,0.104831179,0.378207768,0.397726109,0.357546474,0.394136148,0.502625131,0.414806029,0.295001352,0.312496541,0.319930477,0.070138163,0.042124452,0.04914286,0.145493792,0.13439016,0.173872851,0.210505716,0.195578432,0.200314495,0.124489604,0.132180474,0.148431609
sub-008,0.063016741,0.076369953,0.093801574,0.438120136,0.319854612,0.23433322,0.439421092,0.447628296,0.396920507,0.316020637,0.244024406,0.202721367,0.030756296,0.037050094,0.044426776,0.172558223,0.144928811,0.119648564,0.21524134,0.221095126,0.149623222,0.122631058,0.097368903,0.097567595
sub-009,0.080236166,0.08799508,0.115779718,0.347721269,0.319373062,0.408050071,0.357203952,0.459817572,0.465890496,0.25738394,0.229056923,0.316945569,0.046237852,0.044117509,0.072572769,0.162302594,0.138487673,0.168450493,0.192113538,0.191047392,0.209679554,0.128523542,0.092869508,0.142174154
sub-011,0.092299188,0.108457007,0.116562048,0.476025587,0.399451944,0.351944352,0.42614662,0.479751162,0.348202919,0.387577108,0.259272906,0.291677593,0.052579994,0.055207302,0.046656983,0.189260549,0.156937908,0.146903469,0.180300061,0.184570425,0.166202883,0.160460196,0.115139574,0.116959342
sub-012,0.138978908,0.115591721,0.131816713,0.36196716,0.330356789,0.351755623,0.383570612,0.435844559,0.399907246,0.293847152,0.243544343,0.289008893,0.082664789,0.067323447,0.074544679,0.169018922,0.149744254,0.168328324,0.154819232,0.20930672,0.193371698,0.128262908,0.116674117,0.133969413
sub-013,0.111377435,0.158439231,0.090505213,0.434724249,0.412409186,0.480074687,0.491352668,0.536885298,0.335323134,0.314350174,0.307585873,0.38829414,0.056815548,0.073116861,0.051945972,0.17052239,0.166955894,0.166793103,0.229040006,0.215600351,0.15330341,0.134380673,0.144727597,0.147433239
sub-014,0.090209345,0.070934299,0.082579731,0.460573055,0.335521091,0.407188605,0.493592378,0.426499574,0.428254007,0.307193834,0.247377921,0.339680325,0.057114396,0.03920422,0.041252192,0.157816546,0.133708363,0.162335698,0.197890597,0.176986607,0.227358653,0.107620811,0.105740401,0.140773462
sub-015,0.07708465,0.085841854,0.089561038,0.404529205,0.50206503,0.501434202,0.401194539,0.385587304,0.439157395,0.289469117,0.396211496,0.392708424,0.042186225,0.04600987,0.042010049,0.169304741,0.20977882,0.217412709,0.217752154,0.205638887,0.199934466,0.111637832,0.14858972,0.165054435
