x y z radius(mm) netWorkbenchLabel netName integrativePercent
-23 -90 15 5 2 Visual 0
-17 -68 3 5 2 Visual 0
-16 -77 30 5 2 Visual 0
-15 -53 -2 5 2 Visual 0
-14 -72 -9 5 2 Visual 0
-14 -90 27 5 2 Visual 0
-8 -80 5 5 2 Visual 0
-3 -81 18 5 2 Visual 0
5 -72 21 5 2 Visual 0
6 -81 4 5 2 Visual 0
8 -72 9 5 2 Visual 0
14 -87 33 5 2 Visual 0
14 -77 28 5 2 Visual 0
17 -48 -9 5 2 Visual 0
19 -66 1 5 2 Visual 0
19 -85 -4 5 2 Visual 0
23 -87 21 5 2 Visual 0
25 -79 -16 5 2 Visual 0
26 -60 -9 5 2 Visual 0
27 -77 23 5 2 Visual 0
35 -84 11 5 2 Visual 0
35 -81 0 5 2 Visual 0
38 -73 13 5 2 Visual 0
40 -66 -8 5 2 Visual 0
41 -78 -12 5 2 Visual 0
-51 -50 39 5 3 FrontoParietal 0
-45 7 24 5 3 FrontoParietal 0
-43 -2 45 5 3 FrontoParietal 0
-41 33 24 5 3 FrontoParietal 0
-41 -56 41 5 3 FrontoParietal 0
-41 20 31 5 3 FrontoParietal 0
-40 2 33 5 3 FrontoParietal 0
-40 40 2 5 3 FrontoParietal 0
-33 49 9 5 3 FrontoParietal 0
-28 -59 44 5 3 FrontoParietal 0
-23 6 63 5 3 FrontoParietal 0
-4 21 46 5 3 FrontoParietal 0
23 39 -9 5 3 FrontoParietal 0
29 9 57 5 3 FrontoParietal 0
31 -55 42 5 3 FrontoParietal 0
32 48 -6 5 3 FrontoParietal 0
35 -66 38 5 3 FrontoParietal 0
36 37 20 5 3 FrontoParietal 0
37 13 42 5 3 FrontoParietal 0
41 -55 45 5 3 FrontoParietal 0
41 43 4 5 3 FrontoParietal 0
44 5 35 5 3 FrontoParietal 0
45 19 30 5 3 FrontoParietal 0
46 -45 44 5 3 FrontoParietal 0
56 -54 -12 5 3 FrontoParietal 0
45 17 14 5 3 FrontoParietal 0
52 -47 36 5 3 FrontoParietal 0
-34 16 3 5 8 Salience 0
-27 46 25 5 8 Salience 0
-11 21 27 5 8 Salience 0
-2 10 45 5 8 Salience 0
-1 25 30 5 8 Salience 0
4 18 39 5 8 Salience 0
9 17 30 5 8 Salience 0
24 43 31 5 8 Salience 0
32 12 -3 5 8 Salience 0
49 -31 -2 5 7 VentralAttention 0
-54 -51 8 5 7 VentralAttention 0
-53 -41 12 5 7 VentralAttention 0
49 -35 9 5 7 VentralAttention 0
53 -48 12 5 7 VentralAttention 0
-47 21 2 5 7 VentralAttention 0
-11 6 66 5 7 VentralAttention 0
50 27 6 5 7 VentralAttention 0
