sub,condition,file
sub-023,boredom,sub-023_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-024,boredom,sub-024_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-025,boredom,sub-025_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-026,boredom,sub-026_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-028,boredom,sub-028_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-029,boredom,sub-029_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-030,boredom,sub-030_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-031,boredom,sub-031_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-032,boredom,sub-032_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-033,boredom,sub-033_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-034,boredom,sub-034_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-035,boredom,sub-035_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-036,boredom,sub-036_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-037,boredom,sub-037_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-039,boredom,sub-039_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-040,boredom,sub-040_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-041,boredom,sub-041_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-042,boredom,sub-042_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-005,frustration,sub-005_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-006,frustration,sub-006_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-007,frustration,sub-007_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-008,frustration,sub-008_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-009,frustration,sub-009_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-011,frustration,sub-011_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-012,frustration,sub-012_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-013,frustration,sub-013_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-014,frustration,sub-014_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-015,frustration,sub-015_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-016,frustration,sub-016_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-017,frustration,sub-017_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-018,frustration,sub-018_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-019,frustration,sub-019_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-020,frustration,sub-020_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-021,frustration,sub-021_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
